"id_aire_geographique","commune","code_insee","code_departement","region","nom_region","nb_habitants"
1,Moncoutant,"79179","79",4,Nouvelle Aquitaine,5251
2,Sèvremoine,"49301","49",3,Pays De La Loire,26095
3,Mauléon,"79079","79",4,Nouvelle Aquitaine,8844
4,Épinal,"88160","88",9,Grand Est,33217
5,Martigues,"13056","13",7,Provence-Alpes-Cote D'Azur,49037
6,Villard-Bonnot,"38547","38",6,Auvergne / Rhone-Alpes,7431
7,Cabris,"06026","6",7,Provence-Alpes-Cote D'Azur,1413
8,Coulommiers,"77131","77",2,Ile-De-France,15167
9,Cucuron,"84042","84",7,Provence-Alpes-Cote D'Azur,1810
10,Carcans,"33097","33",4,Nouvelle Aquitaine,2455
11,Clichy,"92024","92",2,Ile-De-France,63166
12,Biscarrosse,"40046","40",4,Nouvelle Aquitaine,14393
13,Aix-en-Provence,"13001","13",7,Provence-Alpes-Cote D'Azur,150358
14,Saint François Longchamp,"73235","73",6,Auvergne / Rhone-Alpes,551
15,Noves,"13066","13",7,Provence-Alpes-Cote D'Azur,5893
16,Amnéville,"57019","57",8,Grand Est,10739
17,Pontailler-sur-Saône,"21496","21",6,Bourgogne / Franche-Comte,1313
18,Pouillon,"40233","40",4,Nouvelle Aquitaine,3169
19,Guer,"56075","56",3,Bretagne,6378
20,Héric,"44073","44",3,Pays De La Loire,6523
21,Saint-Philbert-de-Grand-Lieu,"44188","44",3,Pays De La Loire,9409
22,Saint-Herblain,"44162","44",3,Pays De La Loire,49801
23,Besse-sur-Issole,"83018","83",7,Provence-Alpes-Cote D'Azur,3122
24,Barbezieux-Saint-Hilaire,"16028","16",4,Nouvelle Aquitaine,4924
25,Mauriac,"15120","15",6,Auvergne / Rhone-Alpes,3701
26,Arzon,"56005","56",3,Bretagne,2305
27,Carnac,"56034","56",3,Bretagne,4337
28,Poix-de-Picardie,"80630","80",3,Hauts De France,2370
29,Gémenos,"13042","13",7,Provence-Alpes-Cote D'Azur,6827
30,Puget-Ville,"83100","83",7,Provence-Alpes-Cote D'Azur,4456
31,Jœuf,"54280","54",9,Grand Est,6636
32,Halluin,"59279","59",5,Hauts De France,20934
33,Saint-Jean-de-Monts,"85234","85",4,Pays De La Loire,8954
34,Carbon-Blanc,"33096","33",4,Nouvelle Aquitaine,8355
35,Montauroux,"83081","83",7,Provence-Alpes-Cote D'Azur,6730
36,Villers-sur-Mer,"14754","14",3,Normandie,2559
37,Montceau-les-Mines,"71306","71",6,Bourgogne / Franche-Comte,17488
38,Belley,"01034","1",6,Auvergne / Rhone-Alpes,9550
39,Conflans-Sainte-Honorine,"78172","78",2,Ile-De-France,36372
40,Donges,"44052","44",3,Pays De La Loire,8191
41,Les Clayes-sous-Bois,"78165","78",2,Ile-De-France,17624
42,Muret,"31395","31",4,Occitanie,25336
43,Buxerolles,"86041","86",4,Nouvelle Aquitaine,10127
44,La Souterraine,"23176","23",4,Nouvelle Aquitaine,5182
45,Dives-sur-Mer,"14225","14",3,Normandie,5403
46,Kembs,"68163","68",8,Grand Est,5721
47,Albi,"81004","81",4,Occitanie,50783
48,Le Plessis-Robinson,"92060","92",2,Ile-De-France,29719
49,Mers-les-Bains,"80533","80",3,Hauts De France,2632
50,Les Sables-d'Olonne,"85194","85",4,Pays De La Loire,48401
51,Rochefort,"17299","17",4,Nouvelle Aquitaine,24042
