"id_cinema","id_aire_geographique","nom_cinema","adresse","commune","longitude","latitude","numero_uu","ecrans","fauteuils"
15,376,Le Temple,Rue Du Barry,Camarès,2.878911,43.824207,"00000",1,172
96,472,L Odeon,Rue Barri,Barjols,6.006581,43.558186,"83113",1,131
1795,1269,Megarama,Rue De Villars,DENAIN,3.393394,50.326794,"59701",7,986
820,1217,Cgr Abbeville La Sucrerie,"2 Rue De Menchecourt",Abbeville,1.824393,50.115047,"80401",8,1209
1344,1217,Rex,"26 Place Clemenceau",Abbeville,1.834667,50.108677,"80401",3,456
1134,1259,Salle Charles Chaplin,Espace Culturel Alain Poher 7 Avenue Auguste Duru,Ablon-sur-Seine,2.420302,48.724182,"00851",1,209
1090,599,Pandora,"6 Allee Simone Signoret",Achères,2.067774,48.960957,"00851",3,257
1859,633,Le Foyer,Rue Ndu Stade,Acigné,-1.537695,48.13561,"35213",2,268
1773,250,Travelling,Rue Brescou,Agde,3.473009,43.31185,"34401",4,757
1496,1531,Cgr Agen,Place Du Pin,Agen,0.624721,44.204567,"47501",10,1595
50,1531,Studio Jules Ferry,"12 Rue Jules Ferry",Agen,0.62747,44.204674,"47501",2,288
769,552,Cinema De L'Espace,Avenue Roosevelt,Agon-Coutainville,-1.595352,49.04866,"50204",1,79
1473,1161,Cinema Municipal Marcel Pagnol,"9 Rue Victor Hugo",Aigues-Mortes,4.189267,43.56609,"30212",1,168
1940,82,Theophile De Viau,Place De La Mairie,Aiguillon,0.336667,44.299995,"47105",1,254
1447,1385,Cinema Moderne,Chemin Du Cinema,Aigurande,1.830697,46.431927,"00000",1,286
341,291,La Salle De Spectacle Et Le Cinema,"493 Avenue De La Gare",Aime-la-Plagne,6.651442,45.55554,"73108",1,150
962,1154,Galaxie,"16 Av Des Pyrenees",Aire-sur-l'Adour,-0.265292,43.69995,"00260",2,444
1458,725,Espace Culturel Area,"6 Place Du Chateau",Aire-sur-la-Lys,2.390569,50.639732,"00752",1,268
223,13,Renoir,"24 Cours Mirabeau",Aix-en-Provence,5.448932,43.52656,"00759",3,431
