"id_film","titre"
56423,Anjuman
41824,"Le Sixième Sens, Science Et Paranormal"
20902,Beyond The Mountains And Hills
5660,La Mer À L'Aube
30065,War Photographer
6219,Connors' War
3554,Je Reviendrai Comme Un Enfant
22727,La Blonde Au Coin De La Rue
21897,Ciné-Lecture : L'Ourse Et L'Oiseau
49940,Time To Choose
14402,Sexy Inc. Nos Enfants Sous Influence
37920,Pari
59032,New Trial
30040,Johnny Belle Gueule
22219,Les Bureaux De Dieu
5744,Je Suis Photogénique
24330,Tour De France
31885,"Jenin, Jenin"
5311,La Bonne Nouvelle
25990,Le Chant Des Moineaux
47775,Aïcha
28238,La Vallée De La Rivière Rouge
5214,Le Rideau De Brume
48658,Paa
24721,En Colo
9137,Les Branches De L'Arbre
57394,Air Bud 2
25429,Le Mariage Des Bénis
877,Free And Easy
44782,"22"
14120,Journées À La Campagne
16133,Jason Bourne : L'Héritage
57889,"Njinga, Rainha De Angola"
59029,Paju
54323,Ripple Effect
17441,L'Énigme De Kaspar Hauser
59112,Un Amor
33920,Pelíšky
1263,Le Grand Soir
47013,Bandwagon
4256,Mission Milano
5888,La Femme Écarlate
50682,Foxfire
59122,L'Espion Qui M'A Larguée
47157,Stranger Eyes
44012,Mon Ami Le Traître
31157,Les Désaxés
28383,He Ovat Paenneet
51633,Maniac
52906,Evolution
32973,Strangers: Prey At Night
47095,L'Ange Exterminateur
30024,Bolivie
54614,L'Embarras Du Choix
31529,La Gemella Erotica
2227,Apocalypto
44158,Tuer Les Chiens Enragés
3325,Trois Petits Tours Et Puis S'En Vont
10742,"Oscar, Le Chien Qui Vaut Des Milliards"
3142,L'Africana
50107,All Eyes Off Me
33126,Bissau D'Isabel
5959,Qui ?
57443,Urban Cannibals
19883,Speaking In Code
58625,Sacré Sale Gosse
52841,Dil To Pagal Hai
36040,The Founding Of A Republic
51343,Joyeuses Pâques
53908,La Saignée
20604,Clair Obscur
25143,Virus Cannibale
48382,Maudite Pluie !
37238,Patricia Et Jean-Baptiste
985,"Rubens, Peintre Et Diplomate"
3553,Ping Pong Summer
30058,Hors-La-Loi
32297,Peaux De Vaches
37787,The Soviet Story
6200,From The Rough
21581,Contre Toi
17639,Another Promise
18384,Ma Frere
45534,Notre Agent À La Havane
44520,Ma’A Nwambang
29211,"6 Angels"
9719,Strangers With Candy
15409,California Hôtel
24110,Les Héritiers
2007,Auf Der Jagd – Wem Gehört Die Natur?
57757,La Légende De Zatoïchi : Retour Au Pays Natal
58662,Runaway Train
31385,Eine Deutsche Revolution
25475,Petites Fesses Juvéniles Pour Membres Bienfaiteurs
7990,Collection
26128,Corniche Kennedy
43335,Mission Verte
40490,Je Ne Suis Pas Moi-Même
20520,The Night Listener
12759,"Bertoldo, Bertoldino E Cacasenno"
45711,Swimming Out Till The Sea Turns Blue
26820,Impunity
51956,Once In The Life
57162,L'Alchimiste À La Manière De Christiane Caron
7597,Le Poirier Sauvage
1242,L'Affaire De La Fille Au Pyjama Jaune
52180,Final Score
8615,Le Charme Discret De La Bourgeoisie
32480,Killer Instinct
22726,Daniel Isn'T Real
4450,Maléfices
19873,I Am Zozo
47814,Turkish Star Wars
46943,Falling From Grace
137,Grandison
30866,Supervixens
3045,Necropolis
39228,Le Grand Retour
56891,Tremblement De Terre À Tangshan
1251,Le Bon Apôtre
10324,La Nuit
33445,El Otro Francisco
23655,Strongroom
41392,Red Joan
42432,Corps Perdus
59115,Mambru S'En Va-T-En Guerre
23162,Rubber Coated Steel
40116,Marcel !
54190,L'Intrepido
57897,Harcèlement
14160,Un Flic Explosif
406,G:Mt – Greenwich Mean Time
23614,Shining Boy & Little Randy
45992,Fous À Délier
22841,Bride Hard
28308,The Social Network
49000,La Femme De Marutai
11996,Assaut Colline 408
46390,Piège En Altitude
16951,Papa
52322,Le Meilleur Ennemi
11731,Aladin Ou La Lampe Merveilleuse
19261,Le Diamant De La Peur
12031,Meherjaan
49918,"1000 Rosen"
54928,Candyman 2
31818,Les Mordus
12042,The Ballad Of Immortal Joe
25238,The Monster
33250,Le Cerf-Volant Bleu
2800,Pléthore De Nords
38634,Je Préfère Le Bruit De La Mer
10137,La Retape
50553,Les Cartes Ne Mentent Jamais
1594,Man To Man
11546,Le Président Et Miss Wade
47966,Papa Est En Congé Parental
24751,Mcfarland
40382,Look For A Star
19662,Stories Of Our Lives
34337,Spa Night
56659,Unhung Hero
35973,Cuore Sacro
3405,Balseros
12861,Une Mère Incroyable
7826,La Dame Dans L'Auto Avec Des Lunettes Et Un Fusil
13127,Travolta Et Moi
10998,L'Amour Avec Des Gants
8321,Jeu Sans Issue
56229,La Première Marche
52562,Ghost In The Noonday Sun
30157,Profanations
50905,Les Oiseaux
36697,La Famille Fang
20573,Le Dernier Jour D'Yitzhak Rabin
1498,Vivre À 35 Milles À L'Heure
9423,Le Vent De La Violence
5823,Pop Redemption
2869,Rock 'N' Roll Nightmare
26337,Le Cul Bordé Des Haies
34771,Park
599,Au Cœur Du Monde
2819,Whisper 4 : La Légende De La Guerrière
5331,To
36736,Adam Clayton Powell
57073,Y A-T-Il Un Parrain Pour Sauver La Mafia ?
45119,Les Yeux Brouillés
32891,Agnus Dei
27499,John John
29328,Dear Dictator
41829,Rachel River
15744,Crimes Maquillés
58975,Ma Vie Avec Liberace
51862,Le Sourire Vertical
31793,Parfum D'Absinthe
15364,The Antics Roadshow
30318,Le Derrière
8824,"Verdun, Ils Ne Passeront Pas"
33545,La Résurrection De Frankenstein
15866,Le Corbillard De Jules
19924,Les Hauts Murs
39556,Tempo
46199,Flight 42
19682,"Casablanca, Nid D'Espions"
52110,Pour Trois Nuits D'Amour
28166,Zafar
45689,L'Étreinte
35264,Blind Dates
13333,Kidnapping Inc.
16930,Hard Time Romance
2379,Tintamarre - La Piste Acadie En Amérique
24674,Retour À Gorée
49133,Séduite Et Abandonnée
40485,Montserrat
17081,One Direction : Le Film
3263,Les Trois Royaumes : La Résurrection Du Dragon
6203,Ptérodactyles
24025,O Homem Do Ano
43931,Retro Puppet Master
55754,Gen¹³
58272,Víbora Caliente
50232,Brumes De Chaleur
418,Noobz
24328,"La Renarde, Le Castor Et Les Autres"
5715,Il Était Une Fois La Télé
47571,La Dernière Femme
39421,G.O.R.A.
30831,The Student Nurses
18825,Blancanieves
27281,Le Monstre
28949,Deux Bidasses Et Le Général
40871,Envers Et Contre Tous
5433,Between The Lines
39025,Mai Per Sempre
58178,Sanguines
47462,Osmose
646,Blood On Méliès' Moon
10113,The Candy Snatchers
340,Au Revoir Les Enfants
40796,Parasite
3620,Allemagne Terminus Est
43440,Twixt
19112,Out Of The Fog
56236,Agent Vinod
13671,Watermelon Man
49483,Divergence
19629,Le Hold-Up Du Siècle
19605,Une Question D'Assurance
10375,Las Vidas De Celia
17299,Go Away Mr. Tumor
8063,L'Expérience Interdite
39686,Hard Cash
13514,The Coastline
45235,L'Entraînement Du Champion Avant La Course
6340,Film Stars Don'T Die In Liverpool
31438,L'Emprise
51853,L'Atelier De Mon Père
45808,Mes Insomnies
33636,Pleure Pas Germaine
47819,Le Feu De La Vengeance
19888,Casa Di Piacere
43012,La Promesse D'Un Été
48549,Les Yeux De Sa Mère
32706,Ambulance
5748,Duel À La Vodka
394,Blood Valley: Seed'S Revenge
55360,Trop Jeunes Pour Mourir
58604,Fool For Love
44686,Two Left Feet
37865,Au Premier Regard
12888,Échec À La Brigade Criminelle
52720,The Other Man
13125,La Luna En El Espejo
56556,Les Saignantes
1068,Glitter
36029,Sous La Neige
14941,Machete
1866,Eau Zoo
50150,Dracula Père Et Fils
40933,Possessed
50688,Death Beach
36677,Future War
28436,Goodbye Columbus
31740,Crock Of Gold
36513,Ombre
36529,Corps Étrangers
42231,Dans Les Griffes Du Crime
31962,The Circle - Chapitre 1 : Les Élues
7444,Kaili Blues
12632,Sparrow
53925,The Myth
23883,Forbidden Fruit
45788,"Charles Pathé Et Léon Gaumont, Premiers Géants Du Cinéma"
14215,Adam
10539,Carrousel
3025,La Rage De Survivre
17873,Sanitatem
25654,Max Et Les Ferrailleurs
38267,L'Empire Des Ombres
7581,Death Force
32041,Thomas Le Fauconnier
39784,La Ballade Des Sans-Espoir
10566,Gloria Victoria
9603,Over The Hill
23869,Kiss And Kill
12828,C'Est Dur D'Être Un Homme : L'Oiseau Bleu Du Bonheur
46525,Azad
8016,All Inclusive
9017,June
5907,Sin Nombre
3279,Des Vampires Dans Le Bronx
52508,Arnaqueuses Et Milliardaires
34594,Les Graines Que L'On Sème
56540,La Novice
46307,As Tears Go By
3973,Une Manière De Vivre
33094,Bhoot
33912,Ketika
30586,"Suceurs De Sang, Une Comédie Marxiste De Vampires"
8483,Charlie Et Ses Drôles De Dames
42507,Ceux D'En Face
14546,L'Œil Du Maître
48436,Liam Dan Laila
58332,Sing
6759,Trinità E Bambino... E Adesso Tocca A Noi
9624,L'Alexandrophagie
23258,La Espalda Del Mundo
10717,Gassan
32453,Double Vision
6142,L'Étranger À L'Intérieur D'Une Femme
12476,Le Passager De La Pluie
52332,À Tous Les Garçons Que J'Ai Aimés
23506,Trois Fois Passera
47160,Les Vaillants
5638,Le Petit Cow-Boy
55742,"Saigon, L'Enfer Pour Deux Flics"
56598,Narvik
25954,Le Serpent
17627,Yakuza Demon
24408,État De Grâce
55992,L'Homme Trop Pressé Prend Son Thé À La Fourchette
35613,Écrire La Vie : Annie Ernaux Racontée Par Des Lycéennes Et Des Lycéens
3583,Ces Femmes Qui Marchent
53103,Princess Bride
36974,Ishq Ke Parindey
20050,The Venice Project
22814,Sikandar
34643,Always Zoku San-Chōme No Yūhi
17805,Forever Enthralled
20277,Nicostratos Le Pélican
7818,Seven Years Of Night
5570,Mielőtt Befejezi Röptét A Denevér
44183,Virgin
44392,Revision - Apocalypse Ii
55033,Itha Oru Snehagatha
12494,La Marquise D'O...
9957,Old School
28978,Avh: Alien Vs. Hunter
3884,Le Roi De La Polka
50608,Dialogues
27618,The Last Sunrise
5103,Bandits D'Amour
10154,American Pie 2
3669,Dieu Pardonne À Mon Pistolet
4686,La Championne
15938,Profession Profiler
5604,"Cherry, Harry & Raquel!"
36941,Cendres Et Diamant
54892,Oasis Knebworth 1996
28387,On M'Appelle Providence
25684,Mathilde
20481,Les Traqués De L'An 2000
57693,Fassbinder Et Les Femmes
20875,Equus
55098,Premier Homme
10303,Dobermann
27506,Viol À L'Italienne
46897,À La Place Du Cœur
43188,Gwendoline
11732,Pour L'Exemple
41341,Il Était Un Père
42292,Ailes De Papillon
34710,Pan Tadeusz - Quand Napoléon Traversait Le Niémen
48781,Le Gaffeur
58495,Ballermann 6
15734,The Lawnmower Of Men Of Kapu
27558,Don 2
17233,Gros Coup À Pampelune
20815,Asphalte
21071,School Daze
53309,Voir
58888,Le Fils De La Mariée
32915,The Target
43455,Les Hommes Contre
43566,What Richard Did
566,Le Traducteur
55735,Silsila Hai Pyar Ka
14069,Saved!
18319,Les Zombies Font Du Ski
24587,Perdre Est Une Question De Méthode
5708,Gâteau
55666,Thirteen Conversations About One Thing
7119,Oozham
37870,Club Paradis
11929,Cai You Ri Ji
18736,Le Secret Des Mesanges
41548,Gladiator Ii
25018,The Other Story
45285,The Valley
2096,L'Amazone Candidate
34,Snehaloka
7681,Coca Cola Kid
40766,Due Mattacchioni Al Moulin Rouge
49800,Ça N'Empêche Pas Les Sentiments
8053,L'Aigle De La Neuvième Légion
35252,Weeds
39900,Sanglant Voyage Scolaire
