"id_cinema","nom_cinema","adresse_cinema","evolution_entrees","entrees_2021","entrees_2022","entrees_2023","entrees_2024"
,,,,,,,185847
,Cinema Lux,"1 Rue Du Général Leclerc",23,3499,4312,,
,,,,,,4819,6195
,,,,,,4897,21061
,,,,,,30645,47697
,Plein Air San Fiurenzu,Faggiole Rd 81,20,1961,2362,,
,Le Querlys,Bd Des Thermes,67,4312,7222,,
,,,,,,1991,5607
,,,,,,4744,4828
,Borderouge Cine,"59 Avenue Maurice Bourges-Maunoury",91,31897,60811,,
,,,,,,,67284
,Amical Cine,"35 Rue Joseph Leroy",115,5971,12838,,
,Cinema Bernadette,"6 Av Mgr Schoepfer",179,1637,4566,,
,,,,,,60565,58575
,,,,,,9008,128288
,,,,,,,1991
,Cinema Du Casino,"3 Avenue De La Ville De Vichy",51,10716,16164,,
,Le Train Cinema,"1 Rue Louis Aragon",126,3978,8986,,
,La Nef - Relais Culturel De Wissembourg,"6 Rue Des Ecoles",115,1686,3628,,
,,,,,,5645,6158
,,,,,,54556,59648
,,,,,,109865,178088
,Ecully Cinema,"21 Av Edouard Aynard",92,10905,20958,,
,Palace Lumiere,"2 Boulevard Clémenceau",50,46390,69423,,
,Le Concorde,"8 Rue Gouvion",88,35935,67679,,
,Foyer,"1 Bis Rue Albert Samain",82,7143,13020,,
,Cinema L'Avant-Scene,"1 Rue Alsace-Lorraine",92,2567,4923,,
,,,,,,18214,9390
,,,,,,,10625
,,,,,,20108,47666
,,,,,,85344,80489
,Le Lary,Allee Du Corps Franc Pommies,98,4035,7970,,
,Le Melies,"7 Rue Du Theatre",129,4870,11130,,
,Camping Le Vieux Port,Camping Le Vieux Port,,,2669,,
,,,,,,5036,4831
,Le Club,Place Du Petit Chateau,95,9041,17666,,
,Espace Culturel Robert Hossein,"19 Rue Du Pont De Pierre",61,14444,23306,,
,Theatre De Dion,Route De Suce,237,1015,3416,,
,,,,,,102133,122094
,,,,,,222921,231064
,,,,,,3413,21096
,Cinema Jean Renoir,"70 Boulevard Voltaire",45,3206,4642,,
,,,,,,9064,10038
,,,,,,4524,20312
,,,,,,16344,17536
,La Coupole,"4 Croisée Des Lys",70,29349,49929,,
,,,,,,608,240
,,,,,,2579,2935
,Rex,"17 Rue De La Synagogue",114,4525,9694,,
,,,,,,48368,50584
,Espace Ried Brun,"2 Rue Poincare",186,947,2709,,
,,,,,,1221,1000
,Cinema De Divonne,Avenue Des Thermes,41,4052,5732,,
,,,,,,107996,113052
,,,,,,7820,7722
,Le Dahut,"1 Rue Saint Jean",78,3280,5836,,
,,,,,,2688,3028
,Bel Aria Plein Air,Pielza,31,423,555,,
,Vox,"58 Rue Lesur",129,2435,5575,,
,Le Silencio Des Pres,"22 Rue Guillaume Apollinaire",-80,1568,313,,
,,,,,,19032,24321
,,,,,,107654,103428
,,,,,,13879,13469
,Aurore Cinema,"19 Bd De Laval",56,55442,86480,,
,Espace Culturel Eole,"16 Rue Centrale",57,6548,10251,,
,,,,,,,874
,Fa Mi La,"37 Rue Roger Salengro",103,6264,12706,,
,Cinema La Gargamoelle,Allee Du Parc De Coubertin,54,1608,2469,,
,,,,,,,33725
,,,,,,1210,2349
,Salle La Recre,Ecole Primaire Du Village,300,256,1025,,
,,,,,,,3750
,Gerard Philipe,"40 Rue Henri Barbusse",99,7955,15841,,
,Le Nouveau Palace,"24 Avenue Victor Hugo",49,25718,38384,,
,,,,,,23885,24172
,,,,,,,29692
,,,,,,104937,102937
,Cine Desvres,"8 Rue Victor Lengagne",39,4166,5784,,
,Salle De La Cantine,"3 Rue Du Geyser",52,3045,4627,,
,,,,,,285,1563
,Rex,"6 Rue Clemenceau",105,7414,15196,,
,,,,,,8033,7199
,,,,,,14613,13962
,Vox,"111  Avenue De La Plage",46,7690,11238,,
,Espace Berlioz,Place Maurice Janot,92,1937,3726,,
,Cine Les Plessis,"13 Rue Ferrer",91,11085,21148,,
,Superdevoluy Rex,Le Bois D'Aurouze,54,662,1018,,
,,,,,,12238,12982
,,,,,,7873,7727
,,,,,,14108,14813
,Cinema  11x20 14,"21 Rue De La Croix-Rouge",38,1539,2125,,
,Union,"3 Rue Du Moulin",92,5633,10820,,
,,,,,,,55349
,,,,,,52031,49722
,Le Cercle,"23 Rue Charles De Gaulle",132,3940,9144,,
,Veo Castelnaudary,"39 Boulevard General Lapasset",87,32897,61517,,
,,,,,,18158,19567
1043,Cgr Troyes,Rue Des Bas Trevois,60,252820,405557,462081,443009
,Majestic,"1 Place Voltaire",231,13011,43063,,
,,,,,,16331,17676
,Ciné La Mouche,"8 Rue Des Ecoles",132,6232,14458,,
,Cinema Le Rohan,"39 Rue Du Chateau",121,2346,5195,,
,Le Diamant,"6 Rue Alexandre Dumas",74,15139,26291,,
,Etoile Bethune,"379 Avenue De Lens",45,121066,175136,,
,Le Cubic,"133 Grand'Rue",46,28447,41642,,
,L Aiglon,"7 Rue Du Docteur Rouyer",36,19670,26836,,
,Rex,"6 Avenue Julles Ferry",66,28610,47371,,
,,,,,,46139,48821
,,,,,,160263,263212
,Rio,"6 Rue Georges Clemenceau",57,5195,8156,,
,Eden,"13 Rue Des Dodanes",49,11430,17086,,
,,,,,,,251
,,,,,,15424,15680
,Lumiere,Place Evariste Gras,-1,24998,24776,,
,La Salle Du Nord-Est,"36 Rue Michel Rondet",-91,1501,142,,
,,,,,,17985,17948
,Salle Lebrun,"7 Place Corroyer",41,11897,16726,,
,Cgr Soissons,"12 Rue Du Beffroi",44,60943,87697,,
,,,,,,30153,26957
,,,,,,1958,1742
1202,Mk2 Quai De Seine,"14 Quai De La Seine",61,198514,319039,367034,373778
,Cinéma Le Royal,"25 A Rue De Schirmeck",177,1344,3722,,
,M J C Theatre De Colombes,"96 Et 98 Rue St Denis",44,642,925,,
,Armor Cine,Rue Du Chemin Vert,24,9689,11968,,
,,,,,,30100,31698
,Le Minotaure,Espace Loisirs Francis Huger Blvd Jacques Ugo,,,1440,,
,,,,,,15306,16461
,,,,,,4696,5225
,,,,,,116769,118392
,,,,,,17260,17071
,Auditorium,Route Du Centre,63,1072,1747,,
,,,,,,,133170
,Salle Des Fetes,Foncine Le Haut,,,174,,
,Morclan 2ooo,Morclan 2000,129,4627,10606,,
,,,,,,11785,11978
,Les Ecrans,"4 Promenade De La Fraternité",63,42826,69937,,
,,,,,,,28281
,,,,,,80005,85205
,Cine Lambersart,"15 Place Felix Clouet",2007,807,17005,,
,,,,,,,77246
,Louis Jouvet,"6 Rue Curie",57,3558,5577,,
,Le Cristal,"99 Avenue Beaupreau",7,7237,7727,,
,,,,,,29835,37655
,Salle Grand Ecran,"4 Rue Du Souvenir",56,3618,5633,,
,Cameo,"16 Rue De La Commanderie",82,51030,92629,,
,Espace Gerard Philipe,"3 Rue Clement Humbert",118,6043,13167,,
,Modern Cine,"1 Rue Du 8 Mai",43,17336,24781,,
,,,,,,188398,179745
,Odyssee,"3 Rue Des Francs Bourgeois",-18,19791,16258,,
,Centre Culturel,Square Du 8 Mai,59,2106,3349,,
,Centre Des Arts,"12-16 Rue De La Liberation",149,5818,14469,,
,Cinema Camera 5 (Louis Et Auguste Lumiere),Av Villebois Mareuil,15,20967,24191,,
,,,,,,22188,23534
,Darcy,"8 Place Darcy",87,47905,89399,,
,Forum,"201 Avenue Raymond Pinchard",,,201,,
,,,,,,25212,26892
,Cinos,"442 Rue De L'Impératrice",48,70702,104723,,
,Cgr Castres,"24 Quai Miredames",74,72812,126961,,
,,,,,,39649,46117
,Espace Le Trefle,"29 Rue D'Ensisheim",73,1050,1816,,
,Espace Rhenan,"2 Allée Eugène Moser",69,2351,3981,,
,Scala,"23 Place Du Marche",97,15897,31304,,
,Un Cinéma Qui Vagabonde,Rue Jean Bouin,,,2254,,
,Centre Culturel Claude Vigee,"31 Rue De Vire",65,4640,7676,,
,,,,,,15009,15481
,L'Antares,"1 Place Du Coeur Battant",86,18518,34423,,
,,,,,,,3608
,Elysee,"25 Avenue Du Marechal Joffre",45,43500,62917,,
,Tivoli,"4 Rue De Lavarenne",65,6760,11130,,
,,,,,,82598,98884
,Gaumont Champs Elysees Marignan,"27/33 Avenue Des Champs Elysees",22,169651,206777,,
,,,,,,33630,39358
,La Taniere,Les Arcades,221,415,1334,,
,,,,,,,37546
,,,,,,15839,15856
,,,,,,10713,11745
,,,,,,,1890
,,,,,,5763,14213
,,,,,,455,367
,,,,,,9489,9336
,Casino,Parc Thermal,186,842,2405,,
,,,,,,45859,91246
,,,,,,73267,74263
,Boris Vian Grande Halle,"211 Av Jean Jaures",,,9690,,
,,,,,,131343,137430
,Buxy,Centre Commercial Val D'Yerres 2,66,39463,65426,,
,,,,,,14226,14570
,,,,,,19037,20798
,,,,,,10685,9888
,Concorde,"48 Place Duroc",40,32594,45674,,
,,,,,,,246132
,Select,"32 Rue Des Remparts",131,2972,6878,,
,,,,,,5369,5109
,Les Toiles 1,"2 Boulevard Victor Hugo",55,56597,87671,,
,,,,,,29827,34361
,Le Rohan,"55 Rue De La Fontaine Blanche",72,20407,35063,,
,,,,,,5879,6123
,,,,,,25528,24944
,Bretagne,"73 Bd Du Montparnasse",440,3804,20543,,
,Rex,Place Vercingetorix,100,4422,8861,,
,Flandria,"45 Rue Des Viviers",84,8740,16075,,
,,,,,,8551,90490
,,,,,,108,87
,,,,,,,97747
,Majestic,"7 Rue Du Char",39,15568,21636,,
,Hollywood Avenue,"2 Bis  Av Paul Doumer",56,13481,20972,,
,Casino,"7 Rue Marceau",32,15480,20418,,
,Cesar,"4 Place Castellane",32,36431,48247,,
,Star Saint Exupery,"18 Rue Du 22 Novembre",65,97550,160961,,
,,,,,,34168,39421
,,,,,,80790,85894
,Marly-Mages,"1 Rue De Metz",88,10291,19321,,
514,Pathe,"300 Avenue De L'Universite",79,541196,967608,1112076,1028801
1512,Salle Polyvalente,Salle Polyvalente,94,1407,2724,17290,16654
1512,Salle Polyvalente,Salle Polyvalente,83,4879,8922,2222,3453
384,Le Kerfany,"13 Rue Des Moulins",90,24704,46984,54682,56337
1632,Cine Passion,Cine Passion,92,9276,17841,19965,22223
1015,Varietes,"5/7 Bd Victor Hugo",68,66499,111907,147025,164739
632,L Arverne,"18 Avenue Hector Peschaud",68,4577,7681,8248,8603
1796,C2l Cin'Hoche,"6 Rue Hoche",58,61613,97327,113197,116871
254,Salle Les Augustins,Avenue De La Gare,119,2249,4917,38742,43864
690,Cgr Rodez,Place Du Foirail,69,124313,210171,250776,260688
865,Le Cyrano,Place Du 8 Mai 1945,94,6030,11669,21762,20875
412,Utopia Manutention 1,"4 Rue Des Escaliers Sainte Anne",76,86976,153420,181734,180018
265,Rexy,"9 Rue De L Eglise",56,7469,11616,14455,15661
1586,Pathe,"30 Avenue Corentin Cariou",42,282502,400696,451823,405549
1010,Espace Des Collines,Cinema,88,4494,8464,10114,11596
1720,Salle Des Fetes,Salle Des Fetes,86,3091,5759,2360,2408
762,Gaumont,Av Des Alpes Et Rue Du Dauphine,48,268720,397434,470936,420097
142,Theatre De Verdure,Place De La Mairie,193,464,1358,3946,4357
1989,Megarama,"44 Avenue De La Longue Bertrane",51,234993,354153,396320,349881
79,Le Carfour,Route De Nesmy,96,2902,5680,7053,8324
47,Victoria,"36 Av Victoria",86,22356,41551,48593,55459
1720,Salle Des Fetes,Salle Des Fetes,149,16096,40048,10002,13164
547,Cine Pax,Rue De La Gare,165,5031,13335,140928,140320
930,Pathe,"26 Rue Le Corbusier",41,280883,396263,410535,418702
1093,Salle Saint-Gobain,Place Saint-Gobain,77,2150,3803,4975,4398
1377,Kinepolis,"50 Route D'Arlon",68,214032,359896,447178,421183
142,Le Clap,Place De La Mairie,100,8016,16066,65282,68201
465,Le Rabelais,"18 Bis Rue Rabelais",45,5358,7755,8884,10189
634,Le Capitole,"3 Rue Ledru Rollin",50,69033,103316,120977,125102
604,Les Corbieres,Place De La Liberation,88,5069,9511,11354,12963
935,L Ubac,Place Emile Hodoul,81,3952,7139,5742,5733
190,Les Studios,"136 Rue Jean Jaures",64,75769,124107,163038,157608
1188,Utopia 1,Place Du Chateau,73,86240,149194,171781,173152
256,Cinéma Le Clap,Le Bourg,79,1596,2854,3546,4634
300,Casino,"46 Rue Emmanuel Brousse",26,817,1028,1919,2020
1133,Salle Pierre Daure,Universite De Caen,64,2354,3854,6315,9438
1532,Cinematour,Cinematour,91,2921,5582,6445,7626
1102,Utopia,"5 Place Camille Jullian",70,141672,240681,274750,281533
1336,Arletty,Bd Marechal Foch,69,17330,29292,39782,41243
1720,Salle Des Fetes,Salle Des Fetes,240,8539,29032,10002,13164
1288,Le Normandy,Place Du General De Gaulle,52,11861,18056,22525,23120
1109,Le Maintenon,Rue Alfred Rolland,96,6840,13400,16831,18007
1596,Rex,Avenue Des Belleville,75,7399,12944,14851,14590
1512,Salle Polyvalente,Salle Polyvalente,94,1407,2724,27347,32951
1720,Salle Des Fetes,Salle Des Fetes,407,811,4115,34476,38864
1771,Plazza Victor Hugo,"6 Rue Gambetta",78,35225,62752,66358,81319
839,Arevi,Av Du Docteur Lemoyne,63,13049,21277,27157,31076
542,Salle Yves Renault,"4 Rue Jean Perrin",146,350,860,1131,970
1982,Chambord,"283 Avenue Du Prado",46,56138,82114,96241,98866
1498,La Ramasse,"9 Rue Des Jardins",133,1220,2846,2611,3799
845,Vox,Rue Ambroise Croizat,164,2857,7538,8853,10298
1720,Salle Des Fetes,Salle Des Fetes,407,811,4115,311,114
517,Stella,Rue Jeanne D Arc,57,3612,5658,6054,7590
142,Cinema Paradiso,Place De La Mairie,47,34754,50982,21030,20290
1219,Megarama,"8 Avenue Salvador Allende",47,102911,151742,156444,137730
1648,Cine Carbonne,Bois De Castres,74,5381,9389,11847,12845
1706,Vox,"11 Rue Du College",71,4465,7651,7963,8849
455,Cine Carroz,Place Centrale,,,841,19508,19709
282,Le Bretagne,Peguin,81,14299,25950,28644,26784
1512,Salle Polyvalente,Salle Polyvalente,198,9610,28654,11358,11885
945,Millenium,Place Des Mantilles,57,20779,32623,41796,34299
366,Chateau De Pluvy,Brussieu Mille Club,149,5937,14764,16898,18818
354,Drakkar,Place Abel Doucet,23,2112,2596,3563,3405
1720,Salle Des Fetes,Salle Des Fetes,130,15606,35877,10002,13164
1843,Salle D'Animation Rurale,Chemin De Chambe,19,10021,11931,12934,14875
991,Lumière Fourmi,"68 Rue Pierre Corneille",62,31222,50558,61796,61033
1831,Eden,"11 Rue De La Republique",82,33307,60516,7336,10098
690,Salle De Cinema Et De Spectacles Vivants,Place Du Foirail,57,5927,9277,122507,123994
836,Centre Culturel,"20 Av Du General De Gaulle",112,5657,12018,12066,11155
1991,Studio,Valmorel,72,4504,7736,8169,8109
205,Les Toiles Du Moun,"447 Avenue Du Corps Franc",59,39700,63025,69224,79823
589,Louis Lumiere,Rue Des Ecoles,144,3708,9036,21439,24020
5,Cour De L'Ecole,Cour De L'Ecole,-18,2654,2171,5243,5030
1782,Casino Du Lac,"6 Avenue Robert  Cousin",68,10456,17563,21119,26563
593,Cinema Theatre,"13 Place De L Hotel De Ville",55,45017,69667,6765,7403
1621,Salle Paul Eluard,Place Marcel Pointet,74,5474,9528,10945,11010
1917,Cinemarine,Avenue De La Plage,58,21173,33415,37479,39341
905,Les Arcades,Place Des Chalands,103,7741,15745,17539,18209
1333,Royal,Place De L Hotel De Ville,65,9603,15891,,15655
547,Cinema Les Lumieres,Rue De La Gare,53,75698,115550,16247,17114
873,Horizon Grands Ecrans,"11 Place Denis Dussoubs",54,138870,213264,257649,256170
