"id_cinema","nom_cinema","adresse_cinema","seances_annuelles","art_et_essai","nb_films_inedits","nb_films_programmes","pdm_fr","pdm_us","pdm_ue","pdm_autres_films","pdm_art_et_essai"
1373,Foyer Rural,Foyer Rural,105,false,31,46,64,27,8,0,28
1344,Rex,"26 Place Clemenceau",3322,true,229,420,72,10,14,4,82
15,Le Temple,Rue Du Barry,149,false,41,49,86,6,3,5,26
96,L Odeon,Rue Barri,617,true,178,226,60,16,20,5,60
1795,Megarama,Rue De Villars,11499,false,180,262,33,50,15,2,5
820,Cgr Abbeville La Sucrerie,"2 Rue De Menchecourt",13702,false,141,202,48,38,14,1,2
1134,Salle Charles Chaplin,Espace Culturel Alain Poher 7 Avenue Auguste Duru,146,false,97,117,46,29,15,10,50
1090,Pandora,"6 Allee Simone Signoret",4519,true,174,243,66,12,16,6,78
1859,Le Foyer,Rue Ndu Stade,897,true,218,283,64,19,15,2,40
1773,Travelling,Rue Brescou,5597,true,191,278,51,34,14,1,20
1496,Cgr Agen,Place Du Pin,17740,false,240,321,41,42,15,2,7
50,Studio Jules Ferry,"12 Rue Jules Ferry",2447,true,211,386,67,13,14,6,91
769,Cinema De L'Espace,Avenue Roosevelt,562,true,226,288,72,13,12,3,49
1473,Cinema Municipal Marcel Pagnol,"9 Rue Victor Hugo",1139,true,216,270,50,34,11,5,26
1940,"7eme Art",Place De La Mairie,648,true,136,166,72,16,11,1,12
1940,Theophile De Viau,Place De La Mairie,664,true,209,264,67,17,13,4,54
1940,Le Clap,Place De La Mairie,1324,true,219,299,61,23,14,3,37
1940,Theatre De Verdure,Place De La Mairie,10,false,6,10,60,35,6,0,0
1940,Foyer Rural,Place De La Mairie,570,true,19,88,66,11,12,10,59
1940,Le Felix,Place De La Mairie,673,true,202,242,52,28,16,4,35
1940,Cinema Paradiso,Place De La Mairie,3558,true,325,453,60,28,10,3,24
1940,Le Paradisio,Place De La Mairie,279,true,151,190,60,24,14,2,26
1940,Normandy,Place De La Mairie,97,false,57,83,55,26,11,8,40
1447,Cinema Moderne,Chemin Du Cinema,646,true,127,150,72,17,9,2,28
341,La Salle De Spectacle Et Le Cinema,"493 Avenue De La Gare",84,false,59,73,68,19,13,0,46
962,Galaxie,"16 Av Des Pyrenees",996,true,158,182,48,38,13,1,15
1458,Espace Culturel Area,"6 Place Du Chateau",117,false,27,63,55,20,23,1,43
223,Renoir,"24 Cours Mirabeau",4391,true,108,149,60,18,10,11,98
1201,Cezanne,"1 Rue Marcel Guillaume",13526,false,171,285,48,35,15,3,16
1738,Le Mazarin,"3ter Rue Mazarine - 6 Rue Laroqu",4501,true,156,216,60,3,30,7,100
1459,Armand Lunel,Rue Des Allumettes,585,true,10,146,21,41,13,26,92
47,Victoria,"36 Av Victoria",5744,true,233,311,73,7,16,5,87
537,Les Toiles Du Lac,"14 Rue Daniel Rops",13199,false,190,246,46,38,15,2,7
562,Espace Culturel Villeneuve,Route De Challans,1455,true,272,327,62,23,13,2,32
972,L Ellipse,Bd Louis Campi,8907,true,280,421,43,38,16,3,20
1224,Espace Diamant,Boulevard Pascal Rossimi,13,false,0,5,68,0,0,32,100
1213,Auditorium Pascal Paoli,Quai L Herminier Bp 253,5,false,1,3,72,0,28,0,100
1479,Palais Des Congres,Quai L Herminier,6,false,3,6,6,0,94,0,31
1342,Laetitia,"24 Cours Napoleon",4438,true,254,365,63,17,16,4,55
1560,Espace Culturel Municipal,Boulevard Pascal Rossini,30,false,7,16,34,0,36,30,75
1370,Le Casino,"29 Rue De Boulan",1643,false,106,153,51,35,13,1,9
596,Le Dome Gambetta,"12 Rue Gambetta",1022,false,81,94,39,48,12,1,1
1537,Le Dome,"135 Place De L Europe",2553,true,180,271,71,10,14,5,65
229,Cinema Salle Arce,P. De L'Amitie Entre Les Peuples,848,true,130,258,65,7,14,14,90
1131,Cgr Albi,Place De L'Amitie Entre Les Peup,13496,false,156,226,43,41,14,1,5
158,Cgr Albi Laperouse,"60 Rue Sere De Rivieres",4236,true,160,261,64,9,19,8,96
1353,Casse Massion,La Rua,215,false,83,107,67,20,12,2,31
196,Planet'Cine,"194 Rue De Bretagne",9705,true,242,341,51,33,14,2,14
1535,Cineplanet,Boulevard Vauban,13056,true,315,493,46,37,15,3,19
