"id_seance","id_film","id_cinema","titre","nom_cinema","debut","fin","st","version","nb_places"
2418,18384,,Ma Frere,Saint-André Des Arts,2026-02-06,2026-02-06,false,VO,182
3695,18384,,Ma Frere,Le Confluent,2026-02-14,2026-02-14,false,VO,300
4136,16349,,Vaiana 2,Le Maingué,2024-12-10,2024-12-10,false,VF,192
4761,33714,,Urchin,Les Toiles,2026-03-07,2026-03-07,false,VO,
5290,56227,,Ma Frère,Studios,2026-02-04,2026-02-05,false,VF,
6861,56996,,Citizen Kane,Les Toiles,2026-03-14,2026-03-14,false,VO,
8711,28237,,Nuremberg,La Pléiade,2026-02-07,2026-02-07,false,VO,109
9322,33714,,Urchin,Cinéma Rutebeuf,2026-02-28,2026-02-28,false,VO,368
10260,16349,,Vaiana 2,Le Maingué,2024-12-15,2024-12-15,false,VF,192
12758,33714,,Urchin,Les Toiles,2026-03-09,2026-03-09,false,VO,
13820,29349,,Eleonora Duse,L'Ecran,2026-02-07,2026-02-07,false,VO,
15035,17602,,Hamnet,Cratère,2026-02-22,2026-02-22,false,VO,
15260,4559,,Fanon,Café Des Images,2025-04-16,2025-04-16,false,VF,
16944,39537,,Dreams,Les Toiles,2026-03-02,2026-03-02,false,VO,
9957,21897,,Ciné-Lecture : L'Ourse Et L'Oiseau,Les Templiers,2026-02-18,2026-02-18,false,,
845,52906,,Evolution,Cratère,2026-02-12,2026-02-13,false,VO,
2453,18384,,Ma Frere,Saint-André Des Arts,2026-02-04,2026-02-04,false,VO,182
5171,18384,,Ma Frere,Tap Cinéma,2026-02-16,2026-02-16,false,VO,74
6731,18384,,Ma Frere,Saint-André Des Arts,2026-02-07,2026-02-07,false,VO,182
8124,18384,,Ma Frere,Les 3 Robespierre,2026-03-02,2026-03-02,false,VO,52
9023,18384,,Ma Frere,Ciné Garlin,2026-02-08,2026-02-08,false,VO,163
11529,18384,,Ma Frere,Saint-André Des Arts,2026-02-10,2026-02-10,false,VO,182
12389,18384,,Ma Frere,Ciné Garlin,2026-02-06,2026-02-06,false,VO,163
14012,18384,,Ma Frere,Saint-André Des Arts,2026-02-05,2026-02-05,false,VO,182
16550,18384,,Ma Frere,Le Confluent,2026-02-11,2026-02-11,false,VO,300
16718,18384,,Ma Frere,Cinéma Jacques Prévert,2026-02-03,2026-02-03,false,VO,190
10122,40796,,Parasite,Le Dôme Cinéma,2026-02-19,2026-02-19,false,VO,
17291,35613,,Écrire La Vie : Annie Ernaux Racontée Par Des Lycéennes Et Des Lycéens,L'Ecran,2026-02-13,2026-02-13,false,VF,
280,53103,,Princess Bride,Les Toiles,2026-03-22,2026-03-22,false,VF,
433,53103,,Princess Bride,Les Toiles,2026-03-21,2026-03-21,false,VF,
3836,53103,,Princess Bride,Les Toiles,2026-03-29,2026-03-29,false,VF,
6756,53103,,Princess Bride,Les Toiles,2026-03-18,2026-03-18,false,VF,
7284,53103,,Princess Bride,Le Melies St-Etienne (Jean Jaures),2026-02-15,2026-02-15,true,VO,
9396,53103,,Princess Bride,Le Melies St-Etienne (St François),2026-02-07,2026-02-07,false,VF,
9745,53103,,Princess Bride,Le Melies St-Etienne (St François),2026-02-08,2026-02-08,false,VF,
11285,53103,,Princess Bride,Les Toiles,2026-03-25,2026-03-25,false,VF,
12144,53103,,Princess Bride,Cinéma François-Truffaut,2026-02-24,2026-02-24,false,VF,
12559,53103,,Princess Bride,Les Toiles,2026-03-28,2026-03-28,false,VF,
13516,53103,,Princess Bride,Cinéma François-Truffaut,2026-02-18,2026-02-18,false,VF,
2030,18736,,Le Secret Des Mesanges,Iris Cinéma,2025-11-01,2025-11-01,false,VF,82
3057,18736,,Le Secret Des Mesanges,Ciné Malraux,2026-02-04,2026-02-04,false,VF,327
5719,18736,,Le Secret Des Mesanges,Ciné Malraux,2026-02-08,2026-02-08,false,VF,327
8769,18736,,Le Secret Des Mesanges,Iris Cinéma,2025-10-31,2025-10-31,false,VF,82
11141,18736,,Le Secret Des Mesanges,Iris Cinéma,2025-10-29,2025-10-29,false,VF,82
15710,41548,,Gladiator Ii,Le Maingué,2024-12-14,2024-12-14,false,VF,192
165,50665,,The Hate U Give La Haine Qu'On Donne,Cinéma Arvor,2026-02-12,2026-02-12,false,VO,325
10624,50665,,The Hate U Give La Haine Qu'On Donne,Cinéma Arvor,2026-02-16,2026-02-16,false,VO,100
293,7129,,Les Toutes Petites Creatures 2,Ciné Malraux,2026-02-11,2026-02-11,false,VO,327
464,7129,,Les Toutes Petites Creatures 2,Maison Des Arts,2026-02-08,2026-02-08,false,VF,146
692,7129,,Les Toutes Petites Creatures 2,La Comète,2026-02-07,2026-02-07,false,VF,150
739,7129,,Les Toutes Petites Creatures 2,Ciné 104,2026-02-08,2026-02-08,false,VF,224
1672,7129,,Les Toutes Petites Creatures 2,Le Méliès,2026-02-13,2026-02-13,false,VF,259
2242,7129,,Les Toutes Petites Creatures 2,Ciné Malraux,2026-02-14,2026-02-14,false,VO,327
2591,7129,,Les Toutes Petites Creatures 2,Ciné Malraux,2026-02-15,2026-02-15,false,VO,327
4176,7129,,Les Toutes Petites Creatures 2,Les 3 Robespierre,2026-02-04,2026-02-04,false,VF,52
5094,7129,,Les Toutes Petites Creatures 2,Ciné 104,2026-02-08,2026-02-08,false,VF,224
5414,7129,,Les Toutes Petites Creatures 2,Les 3 Robespierre,2026-03-07,2026-03-07,false,VF,52
5424,7129,,Les Toutes Petites Creatures 2,Ciné 104,2026-02-07,2026-02-07,false,VF,66
7135,7129,,Les Toutes Petites Creatures 2,Ciné 104,2026-02-22,2026-02-22,false,VF,224
8057,7129,,Les Toutes Petites Creatures 2,La Comète,2026-02-18,2026-02-18,false,VF,150
8303,7129,,Les Toutes Petites Creatures 2,Le Méliès,2026-02-11,2026-02-11,false,VF,259
8351,7129,,Les Toutes Petites Creatures 2,Maison Des Arts,2026-02-11,2026-02-11,false,VF,244
8468,7129,,Les Toutes Petites Creatures 2,Ciné 104,2026-02-22,2026-02-22,false,VF,154
8838,7129,,Les Toutes Petites Creatures 2,Les 3 Robespierre,2026-02-11,2026-02-11,false,VF,52
9205,7129,,Les Toutes Petites Creatures 2,Les 3 Robespierre,2026-03-02,2026-03-02,false,VF,52
9406,7129,,Les Toutes Petites Creatures 2,Le Méliès,2026-02-15,2026-02-15,false,VF,259
9410,7129,,Les Toutes Petites Creatures 2,Maison Des Arts,2026-02-04,2026-02-04,false,VF,146
9425,7129,,Les Toutes Petites Creatures 2,Les 3 Robespierre,2026-03-08,2026-03-08,false,VF,52
9452,7129,,Les Toutes Petites Creatures 2,Ciné 104,2026-02-04,2026-02-04,false,VF,224
10000,7129,,Les Toutes Petites Creatures 2,Les 3 Robespierre,2026-02-07,2026-02-07,false,VF,52
10897,7129,,Les Toutes Petites Creatures 2,Maison Des Arts,2026-02-04,2026-02-04,false,VF,244
11038,7129,,Les Toutes Petites Creatures 2,Le Méliès,2026-02-15,2026-02-15,false,VF,259
11203,7129,,Les Toutes Petites Creatures 2,Ciné 104,2026-02-23,2026-02-23,false,VF,224
11817,7129,,Les Toutes Petites Creatures 2,Maison Des Arts,2026-02-08,2026-02-08,false,VF,146
11901,7129,,Les Toutes Petites Creatures 2,Le Cinématographe,2026-02-04,2026-02-04,false,VO,146
12900,7129,,Les Toutes Petites Creatures 2,Les 3 Robespierre,2026-02-26,2026-02-26,false,VF,52
12988,7129,,Les Toutes Petites Creatures 2,Le Méliès,2026-02-14,2026-02-14,false,VF,259
